alpha,T,kappa,seed,projected_A_entropy,projected_B_entropy,component_A_preservation,component_B_preservation,lower_rank_erasure_score
0.4,900,all_one_diagnostic,6,6.06010293212484,3.7653644240818767,1.0,1.0,0.0
0.4,1500,center_of_mass,6,8.00237784325103,5.073442613976789,1.0,0.7443879010560958,0.12780604947195218
0.4,1500,relative_distance,6,8.00237784325103,5.073442613976789,0.8262692996972768,0.5238480309000102,0.32494133470135655
0.4,1500,joint_basin,6,8.00237784325103,5.073442613976789,1.0,1.0,0.0
0.4,1500,basin_transition_profile,6,8.00237784325103,5.073442613976789,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,6,8.00237784325103,5.073442613976789,1.0,1.0,0.0
0.4,1500,random_kappa_matched,6,8.00237784325103,5.073442613976789,1.0,0.6536368928819495,0.17318155355902531
0.4,1500,identity_like_diagnostic,6,8.00237784325103,5.073442613976789,0.8029852558184657,0.5090861360289635,0.3439643040762854
0.4,1500,all_one_diagnostic,6,8.00237784325103,5.073442613976789,1.0,1.0,0.0
0.4,2400,center_of_mass,6,9.502938645420047,6.589107936289615,1.0,0.7635819394177363,0.11820903029113183
0.4,2400,relative_distance,6,9.502938645420047,6.589107936289615,0.95554656159527,0.6625528867889838,0.19095027580787316
0.4,2400,joint_basin,6,9.502938645420047,6.589107936289615,1.0,0.9573429705276367,0.021328514736181692
0.4,2400,basin_transition_profile,6,9.502938645420047,6.589107936289615,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,6,9.502938645420047,6.589107936289615,1.0,1.0,0.0
0.4,2400,random_kappa_matched,6,9.502938645420047,6.589107936289615,1.0,0.8467476478391188,0.07662617608044053
0.4,2400,identity_like_diagnostic,6,9.502938645420047,6.589107936289615,0.9535565264086253,0.6611730444969223,0.1926352145472262
0.4,2400,all_one_diagnostic,6,9.502938645420047,6.589107936289615,1.0,1.0,0.0
0.4,3600,center_of_mass,6,9.921029397159923,7.937294957909117,1.0,0.8234659222030768,0.08826703889846166
0.4,3600,relative_distance,6,9.921029397159923,7.937294957909117,0.9955091454697605,0.7964546222543738,0.10401811613793277
0.4,3600,joint_basin,6,9.921029397159923,7.937294957909117,1.0,0.993253579747281,0.003373210126359494
0.4,3600,basin_transition_profile,6,9.921029397159923,7.937294957909117,1.0,1.0,0.0
0.4,3600,boundary_v2_regime_sequence,6,9.921029397159923,7.937294957909117,1.0,1.0,0.0
0.4,3600,random_kappa_matched,6,9.921029397159923,7.937294957909117,1.0,1.0,0.0
0.4,3600,identity_like_diagnostic,6,9.921029397159923,7.937294957909117,0.9955091454697605,0.7964546222543738,0.10401811613793277
0.4,3600,all_one_diagnostic,6,9.921029397159923,7.937294957909117,1.0,1.0,0.0
0.4,900,center_of_mass,10,6.021935180305309,3.8057499818326557,1.0,0.7289171599836317,0.13554142000818414
0.4,900,relative_distance,10,6.021935180305309,3.8057499818326557,0.7206713898442935,0.45545078893861174,0.41193891060854737
0.4,900,joint_basin,10,6.021935180305309,3.8057499818326557,1.0,1.0,0.0
0.4,900,basin_transition_profile,10,6.021935180305309,3.8057499818326557,1.0,1.0,0.0
0.4,900,boundary_v2_regime_sequence,10,6.021935180305309,3.8057499818326557,1.0,1.0,0.0
0.4,900,random_kappa_matched,10,6.021935180305309,3.8057499818326557,0.8016771035588509,0.5066448792545903,0.34583900859327943
0.4,900,identity_like_diagnostic,10,6.021935180305309,3.8057499818326557,0.604382331879191,0.381958287444169,0.50682969033832
0.4,900,all_one_diagnostic,10,6.021935180305309,3.8057499818326557,1.0,1.0,0.0
0.4,1500,center_of_mass,10,7.968330655785162,5.1476575099029045,1.0,0.7624290140395871,0.11878549298020646
0.4,1500,relative_distance,10,7.968330655785162,5.1476575099029045,0.828476101844368,0.5352076126933791,0.3181581427311264
0.4,1500,joint_basin,10,7.968330655785162,5.1476575099029045,1.0,1.0,0.0
0.4,1500,basin_transition_profile,10,7.968330655785162,5.1476575099029045,1.0,1.0,0.0
0.4,1500,boundary_v2_regime_sequence,10,7.968330655785162,5.1476575099029045,1.0,1.0,0.0
0.4,1500,random_kappa_matched,10,7.968330655785162,5.1476575099029045,1.0,0.6621508280004577,0.16892458599977123
0.4,1500,identity_like_diagnostic,10,7.968330655785162,5.1476575099029045,0.7995688475867253,0.5165331059619105,0.3419490232256821
0.4,1500,all_one_diagnostic,10,7.968330655785162,5.1476575099029045,1.0,1.0,0.0
0.4,2400,center_of_mass,10,9.518986847792231,6.5210005264636095,1.0,0.766260463995142,0.11686976800242899
0.4,2400,relative_distance,10,9.518986847792231,6.5210005264636095,0.9557422706886656,0.6547331086784528,0.19476231031644087
0.4,2400,joint_basin,10,9.518986847792231,6.5210005264636095,1.0,0.9233655484019012,0.03831722579904939
0.4,2400,basin_transition_profile,10,9.518986847792231,6.5210005264636095,1.0,1.0,0.0
0.4,2400,boundary_v2_regime_sequence,10,9.518986847792231,6.5210005264636095,1.0,1.0,0.0
0.4,2400,random_kappa_matched,10,9.518986847792231,6.5210005264636095,1.0,0.8365445567142547,0.08172772164287267
0.4,2400,identity_like_diagnostic,10,9.518986847792231,6.5210005264636095,0.9551668565054631,0.6543389200687199,0.19524711171290854
0.4,2400,all_one_diagnostic,10,9.518986847792231,6.5210005264636095,1.0,1.0,0.0
0.4,3600,center_of_mass,10,9.906764734653434,7.886107123381436,1.0,0.8232407444429968,0.08837962777850161
0.4,3600,relative_distance,10,9.906764734653434,7.886107123381436,0.9940777817056017,0.7913182643857349,0.10730197695433175
