alpha,T,kappa,seed,p_viable_product,H_cond_product,H_weighted_product,H_recovery_product,component_estimator_note
0.4,1500,relative_distance,9,0.999,11.615145529106385,11.60353038357728,11.619556618842209,H_A+H_B from basin/geometric component projections
0.4,1500,joint_basin,9,0.999,11.615145529106385,11.60353038357728,11.619556618842209,H_A+H_B from basin/geometric component projections
0.4,1500,basin_transition_profile,9,0.999,11.615145529106385,11.60353038357728,11.619556618842209,H_A+H_B from basin/geometric component projections
0.4,1500,boundary_v2_regime_sequence,9,0.999,11.615145529106385,11.60353038357728,11.619556618842209,H_A+H_B from basin/geometric component projections
0.4,1500,random_kappa_matched,9,0.999,11.615145529106385,11.60353038357728,11.619556618842209,H_A+H_B from basin/geometric component projections
0.4,1500,identity_like_diagnostic,9,0.999,11.615145529106385,11.60353038357728,11.619556618842209,H_A+H_B from basin/geometric component projections
0.4,1500,all_one_diagnostic,9,0.999,11.615145529106385,11.60353038357728,11.619556618842209,H_A+H_B from basin/geometric component projections
0.4,2400,center_of_mass,9,0.999,14.270427079036809,14.256156651957772,14.273574470337964,H_A+H_B from basin/geometric component projections
0.4,2400,relative_distance,9,0.999,14.270427079036809,14.256156651957772,14.273574470337964,H_A+H_B from basin/geometric component projections
0.4,2400,joint_basin,9,0.999,14.270427079036809,14.256156651957772,14.273574470337964,H_A+H_B from basin/geometric component projections
0.4,2400,basin_transition_profile,9,0.999,14.270427079036809,14.256156651957772,14.273574470337964,H_A+H_B from basin/geometric component projections
0.4,2400,boundary_v2_regime_sequence,9,0.999,14.270427079036809,14.256156651957772,14.273574470337964,H_A+H_B from basin/geometric component projections
0.4,2400,random_kappa_matched,9,0.999,14.270427079036809,14.256156651957772,14.273574470337964,H_A+H_B from basin/geometric component projections
