point_id,T,seed,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess
phase_000,100,2,0.6693725376074497,0.6693725376074497,0.6693725376074497,0.0
phase_000,100,5,0.6677536950252343,0.6677536950252343,0.6677536950252343,0.0
phase_000,100,6,0.6680305755395685,0.6680305755395685,0.6680305755395685,0.0
phase_000,100,7,0.6674175331660094,0.6674175331660094,0.6674175331660094,0.0
phase_000,100,12,0.6675015709156193,0.6675015709156193,0.6675015709156193,0.0
phase_000,100,9,0.667326164874552,0.667326164874552,0.667326164874552,0.0
phase_000,100,10,0.6675232065609228,0.6675232065609228,0.6675232065609228,0.0
phase_000,100,11,0.6665522522522522,0.6665522522522522,0.6665522522522522,0.0
phase_000,100,8,0.667115142239827,0.667115142239827,0.667115142239827,0.0
phase_000,100,14,0.6678814354665712,0.6678814354665712,0.6678814354665712,0.0
phase_000,100,13,0.6669090014316391,0.6669090014316391,0.6669090014316391,0.0
phase_000,100,15,0.6670082589285715,0.6670082589285715,0.6670082589285715,0.0
phase_000,100,16,0.6662511176680972,0.6662511176680972,0.6662511176680972,0.0
phase_000,100,17,0.6668659844933285,0.6668659844933285,0.6668659844933285,0.0
phase_001,50,3,0.7017295737122557,0.7017295737122557,0.7017295737122557,0.0
phase_001,50,2,0.7011124955500179,0.7011124955500179,0.7011124955500179,0.0
phase_000,100,18,0.666607977003234,0.666607977003234,0.666607977003234,0.0
phase_001,50,0,0.6995248564249821,0.6995248564249821,0.6995248564249821,0.0
phase_001,50,1,0.7029861359570662,0.7029861359570662,0.7029861359570662,0.0
phase_001,50,4,0.7007328203292771,0.7007328203292771,0.7007328203292771,0.0
phase_000,100,20,0.6682409381663112,0.6682409381663112,0.6682409381663112,0.0
phase_000,100,19,0.6671186402723037,0.6671186402723037,0.6671186402723037,0.0
phase_000,100,22,0.6675743085488506,0.6675743085488506,0.6675743085488506,0.0
phase_000,100,23,0.6672527917867436,0.6672527917867436,0.6672527917867436,0.0
phase_000,100,21,0.6676532807457869,0.6676532807457869,0.6676532807457869,0.0
phase_001,50,5,0.701450733190272,0.701450733190272,0.701450733190272,0.0
phase_000,100,24,0.6675215824136704,0.6675215824136704,0.6675215824136704,0.0
phase_000,100,25,0.6672489258861438,0.6672489258861438,0.6672489258861438,0.0
phase_000,100,27,0.6667817097237173,0.6667817097237173,0.6667817097237173,0.0
phase_000,100,26,0.6669804729487637,0.6669804729487637,0.6669804729487637,0.0
phase_000,100,28,0.6679869342672413,0.6679869342672413,0.6679869342672413,0.0
phase_001,50,7,0.7000066773504274,0.7000066773504274,0.7000066773504274,0.0
phase_001,50,6,0.7021024766690596,0.7021024766690596,0.7021024766690596,0.0
phase_001,50,8,0.7021676764076977,0.7021676764076977,0.7021676764076977,0.0
phase_001,50,10,0.7001257554212584,0.7001257554212584,0.7001257554212584,0.0
phase_001,50,11,0.7009207013171946,0.7009207013171946,0.7009207013171946,0.0
phase_000,100,29,0.6682765562794064,0.6682765562794064,0.6682765562794064,0.0
phase_001,50,12,0.6999871088193456,0.6999871088193456,0.6999871088193456,0.0
phase_001,50,13,0.7012642908181493,0.7012642908181493,0.7012642908181493,0.0
phase_001,50,15,0.7023441951566951,0.7023441951566951,0.7023441951566951,0.0
phase_001,50,9,0.7011703850305867,0.7011703850305867,0.7011703850305867,0.0
phase_001,50,14,0.7003829068941009,0.7003829068941009,0.7003829068941009,0.0
phase_001,50,16,0.700933820906172,0.700933820906172,0.700933820906172,0.0
phase_001,50,17,0.7009238738738739,0.7009238738738739,0.7009238738738739,0.0
phase_001,50,19,0.7024849504249292,0.7024849504249292,0.7024849504249292,0.0
phase_001,50,18,0.7020360184528033,0.7020360184528033,0.7020360184528033,0.0
phase_001,50,20,0.7016253112771256,0.7016253112771256,0.7016253112771256,0.0
phase_001,50,21,0.7014882016446192,0.7014882016446192,0.7014882016446192,0.0
phase_001,50,22,0.7016391761768901,0.7016391761768901,0.7016391761768901,0.0
phase_001,50,23,0.7028698119900674,0.7028698119900674,0.7028698119900674,0.0
phase_001,50,24,0.7014590060997489,0.7014590060997489,0.7014590060997489,0.0
phase_001,50,28,0.7005696428571428,0.7005696428571428,0.7005696428571428,0.0
phase_001,50,26,0.7031481808548216,0.7031481808548216,0.7031481808548216,0.0
phase_001,50,25,0.7002284513590844,0.7002284513590844,0.7002284513590844,0.0
phase_001,50,27,0.7020828848223897,0.7020828848223897,0.7020828848223897,0.0
phase_001,50,29,0.7012704699181204,0.7012704699181204,0.7012704699181204,0.0
phase_001,100,0,0.7016749040307101,0.7016749040307101,0.7016749040307101,0.0
phase_001,100,4,0.701391245661396,0.701391245661396,0.701391245661396,0.0
phase_001,100,1,0.7020890937019968,0.7020890937019968,0.7020890937019968,0.0
phase_001,100,3,0.7012194828911957,0.7012194828911957,0.7012194828911957,0.0
phase_001,100,2,0.7014098392036753,0.7014098392036753,0.7014098392036753,0.0
phase_001,100,5,0.700407712970069,0.700407712970069,0.700407712970069,0.0
phase_001,100,6,0.7017564655172412,0.7017564655172412,0.7017564655172412,0.0
phase_001,100,7,0.7019534518828451,0.7019534518828451,0.7019534518828451,0.0
phase_001,100,8,0.7008007364192808,0.7008007364192808,0.7008007364192808,0.0
phase_001,100,11,0.7010801294251999,0.7010801294251999,0.7010801294251999,0.0
phase_001,100,10,0.7005587447378491,0.7005587447378491,0.7005587447378491,0.0
phase_001,100,15,0.7017028085594191,0.7017028085594191,0.7017028085594191,0.0
phase_001,100,14,0.7014723186728395,0.7014723186728395,0.7014723186728395,0.0
