alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_excludes_zero,n_seeds
0.45,1500,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.2814062862073761,0.09219053326807412,0.007288301595816014,-0.29500048658034206,-0.2684220933421502,True,160
0.45,1500,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.2838320390865374,0.09618938419182695,0.007604438519379195,-0.2989711266180774,-0.2675265015082557,True,160
0.45,1500,boundary_v2_regime_sequence,Delta_breadth_vs_product,-0.167282377990081,0.002177417070543863,0.00017213993397625332,-0.16759488289888716,-0.1669152648427464,True,160
0.45,1500,boundary_v2_regime_sequence,certified_transport_density_advantage,-0.2804573900713804,0.047232243053249315,0.0037340366761733357,-0.2879843476795024,-0.2728464976913922,True,160
0.45,1500,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,True,160
0.45,1500,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,False,160
0.45,1500,center_of_mass,Delta_depth_vs_shuffled,0.09173976820018667,0.0064647180875567764,0.000511080839689181,0.09079599455008643,0.09269216483465767,True,160
0.45,1500,center_of_mass,Delta_depth_vs_product,0.0907084314455141,0.0069785858499275665,0.0005517056533198276,0.089609918459699,0.09181510948814783,True,160
0.45,1500,center_of_mass,Delta_viable_propagation_vs_shuffled,0.07081470981595231,0.007414243688471279,0.0005861474295774283,0.0695688759999021,0.0721114967231816,True,160
0.45,1500,center_of_mass,Delta_viable_propagation_vs_product,0.0708575978775565,0.009168366414077592,0.000724823007286891,0.06940504300616405,0.07219074671894223,True,160
0.45,1500,center_of_mass,Delta_breadth_vs_product,0.025350409307936955,0.0030088983662959977,0.00023787430213637417,0.024908270482148602,0.02583335325278794,True,160
0.45,1500,center_of_mass,certified_transport_density_advantage,0.07885473696448424,0.022967376788303743,0.0018157305632580676,0.07566550000270471,0.0825316398316449,True,160
0.45,1500,center_of_mass,component_B_preservation,0.7736707517450887,0.0048234946166330565,0.00038133073175302887,0.7729921732260816,0.7744096030317829,True,160
0.45,1500,center_of_mass,lower_rank_erasure_score,0.11316462412745568,0.0024117473083165343,0.00019066536587651492,0.11281813345462359,0.11352972628267145,True,160
0.45,1500,joint_basin,Delta_depth_vs_shuffled,-0.005067425678250232,0.0013553702770286082,0.00010715142870759487,-0.0052717915014788026,-0.004858960862515209,True,160
0.45,1500,joint_basin,Delta_depth_vs_product,-0.005079869489956302,0.0013797731894926077,0.00010908064833079363,-0.005290134680710268,-0.00486853812648308,True,160
0.45,1500,joint_basin,Delta_viable_propagation_vs_shuffled,-0.05458743321267866,0.0596698051279721,0.004717312293569669,-0.06251667282078442,-0.045604590391208,True,160
0.45,1500,joint_basin,Delta_viable_propagation_vs_product,-0.05934364389751691,0.06007018670812077,0.004748965236730845,-0.06782371707534315,-0.04997533866554581,True,160
0.45,1500,joint_basin,Delta_breadth_vs_product,0.3708669006362261,0.002847510768519877,0.0002251154922594825,0.37042610196798537,0.37130872131841874,True,160
0.45,1500,joint_basin,certified_transport_density_advantage,0.06690912937840383,0.043296354539350435,0.003422877368162942,0.060623833322339025,0.0738979731888946,True,160
0.45,1500,joint_basin,component_B_preservation,0.999557447086481,0.001368573905316793,0.00010819526717681723,0.9993521510557772,0.9997537388311161,True,160
0.45,1500,joint_basin,lower_rank_erasure_score,0.00022127645675955703,0.0006842869526583887,5.4097633588408e-05,0.0001274125578216731,0.00033800786338932095,True,160
0.45,2400,basin_transition_profile,Delta_depth_vs_shuffled,-0.03532936001041662,0.004292961115592288,0.0003393883757952254,-0.035996859236573496,-0.034699700948041125,True,160
0.45,2400,basin_transition_profile,Delta_depth_vs_product,-0.035259619241601516,0.0043378806634098,0.00034293957785942996,-0.03590949038411471,-0.034595885949897924,True,160
0.45,2400,basin_transition_profile,Delta_viable_propagation_vs_shuffled,-0.15219841335978831,0.06655946894280461,0.005261988042762552,-0.16217525734730093,-0.14191051296065782,True,160
