candidate_C,compression_ratio,condition,family,label_entropy,macro_recoverability_mixing_rate,macro_viability_mixing_rate,mean_fiber_size,num_macro_labels,num_micro_states,pair_id,singleton_fraction,trap_mixing_rate,world_id,world_seed
trap_mixing_adversarial,0.005291005291005291,irreversible,A,0.7508027480806755,1.0,1.0,189.0,3,567,9,0.0,0.6666666666666666,A_9_irreversible,9
best_of_10_hashes_per_world,0.09700176366843033,irreversible,A,3.966946299779678,0.6727272727272727,0.7090909090909091,10.309090909090909,55,567,9,0.0,0.7636363636363637,A_9_irreversible,9
viability_signature,0.026455026455026454,irreversible,A,1.876719090011543,0.0,0.13333333333333333,37.8,15,567,9,0.0,0.2,A_9_irreversible,9
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.0975730488407234,0.2,0.6,113.4,5,567,9,0.0,0.4,A_9_irreversible,9
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.1169841173605184,0.2,0.4,113.4,5,567,9,0.0,0.2,A_9_irreversible,9
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.5645788771871512,0.375,0.375,70.875,8,567,9,0.0,0.5,A_9_irreversible,9
identity,1.0,irreversible,A,6.340359303727763,0.0,0.0,1.0,567,567,11,1.0,0.0,A_11_irreversible,11
all_one,0.001763668430335097,irreversible,A,0.0,1.0,1.0,567.0,1,567,11,0.0,1.0,A_11_irreversible,11
random_k,0.02292768959435626,irreversible,A,2.5480844975963874,1.0,1.0,43.61538461538461,13,567,11,0.0,1.0,A_11_irreversible,11
hash_k34_s1206,0.059964726631393295,irreversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,11,0.0,1.0,A_11_irreversible,11
trap_mixing_adversarial,0.005291005291005291,irreversible,A,0.7911031896650416,1.0,1.0,189.0,3,567,11,0.0,0.6666666666666666,A_11_irreversible,11
best_of_10_hashes_per_world,0.003527336860670194,irreversible,A,0.6925856254343976,1.0,1.0,283.5,2,567,11,0.0,1.0,A_11_irreversible,11
viability_signature,0.024691358024691357,irreversible,A,1.9351210026091628,0.0,0.07142857142857142,40.5,14,567,11,0.0,0.21428571428571427,A_11_irreversible,11
behavioral_quotient_k5,0.008818342151675485,irreversible,A,1.0844228842546089,0.4,0.4,113.4,5,567,11,0.0,0.4,A_11_irreversible,11
predictive_quotient_k5,0.008818342151675485,irreversible,A,1.069172395400088,0.4,0.4,113.4,5,567,11,0.0,0.4,A_11_irreversible,11
predictive_quotient_k8,0.014109347442680775,irreversible,A,1.4547687483753708,0.375,0.25,70.875,8,567,11,0.0,0.25,A_11_irreversible,11
identity,1.0,reversible,A,6.340359303727763,0.0,0.0,1.0,567,567,3,1.0,0.0,A_3_reversible,3
all_one,0.001763668430335097,reversible,A,0.0,1.0,1.0,567.0,1,567,3,0.0,1.0,A_3_reversible,3
random_k,0.02292768959435626,reversible,A,2.5537091518848767,1.0,1.0,43.61538461538461,13,567,3,0.0,1.0,A_3_reversible,3
hash_k34_s1206,0.059964726631393295,reversible,A,3.5234439856557835,1.0,1.0,16.676470588235293,34,567,3,0.0,1.0,A_3_reversible,3
trap_mixing_adversarial,0.007054673721340388,reversible,A,0.8813754091748968,1.0,1.0,141.75,4,567,3,0.0,0.5,A_3_reversible,3
